fecha,turno,numero
2026-08-03,Matutina,2670
2026-08-03,Electrica,8637
2026-08-03,Vespertina,9637
2026-08-03,Nocturna,8004
2026-08-04,Matutina,5711
2026-08-04,Electrica,412
2026-08-04,Vespertina,2653
2026-08-04,Nocturna,6456
2026-08-05,Matutina,928
2026-08-05,Electrica,9653
2026-08-05,Vespertina,556
2026-08-05,Nocturna,8162
2026-08-06,Matutina,4956
2026-08-06,Electrica,3766
2026-08-06,Vespertina,8342
2026-08-06,Nocturna,5849
2026-08-07,Matutina,7249
2026-08-07,Electrica,2442
2026-08-07,Vespertina,6938
2026-08-07,Nocturna,6501
2026-08-08,Matutina,3557
2026-08-08,Electrica,5255
2026-08-08,Vespertina,3195
2026-08-08,Nocturna,568
2026-08-09,Matutina,4516
2026-08-09,Electrica,7061
2026-08-09,Vespertina,3509
2026-08-09,Nocturna,1387
2026-08-10,Matutina,591
2026-08-10,Electrica,5113
2026-08-10,Vespertina,3650
2026-08-10,Nocturna,2544
2026-08-11,Matutina,7233
2026-08-11,Electrica,5361
2026-08-11,Vespertina,2502
2026-08-11,Nocturna,4034
2026-08-12,Matutina,3201
2026-08-12,Electrica,1821
2026-08-12,Vespertina,5933
2026-08-12,Nocturna,2005
2026-08-13,Matutina,2788
2026-08-13,Electrica,8531
2026-08-13,Vespertina,4889
2026-08-13,Nocturna,3375
2026-08-14,Matutina,2281
2026-08-14,Electrica,4493
2026-08-14,Vespertina,6486
2026-08-14,Nocturna,5404
2026-08-15,Matutina,3937
2026-08-15,Electrica,4190
2026-08-15,Vespertina,6142
2026-08-15,Nocturna,5798
2026-08-16,Matutina,8675
2026-08-16,Electrica,7000
2026-08-16,Vespertina,2124
2026-08-16,Nocturna,5468
2026-08-17,Matutina,5440
2026-08-17,Electrica,5331
2026-08-17,Vespertina,635
2026-08-17,Nocturna,4942
2026-08-18,Matutina,5886
2026-08-18,Electrica,8630
2026-08-18,Vespertina,4408
2026-08-18,Nocturna,3438
2026-08-19,Matutina,3853
2026-08-19,Electrica,467
2026-08-19,Vespertina,170
2026-08-19,Nocturna,5021
2026-08-20,Matutina,5218
2026-08-20,Electrica,128
2026-08-20,Vespertina,4341
2026-08-20,Nocturna,5331
2026-08-21,Matutina,5947
2026-08-21,Electrica,9011
2026-08-21,Vespertina,7100
2026-08-21,Nocturna,3612
2026-08-22,Matutina,8727
2026-08-22,Electrica,1921
2026-08-22,Vespertina,3087
2026-08-22,Nocturna,4209
2026-08-23,Matutina,2685
2026-08-23,Electrica,9154
2026-08-23,Vespertina,7587
2026-08-23,Nocturna,4356
2026-08-24,Matutina,3816
2026-08-24,Electrica,866
2026-08-24,Vespertina,783
2026-08-24,Nocturna,5864
2026-08-25,Matutina,4935
2026-08-25,Electrica,9521
2026-08-25,Vespertina,68
2026-08-25,Nocturna,7751
2026-08-26,Matutina,3858
2026-08-26,Electrica,7211
2026-08-26,Vespertina,2796
2026-08-26,Nocturna,9076
2026-08-27,Matutina,7513
2026-08-27,Electrica,3872
2026-08-27,Vespertina,9977
2026-08-27,Nocturna,7615
2026-08-28,Matutina,3754
2026-08-28,Electrica,1395
2026-08-28,Vespertina,2969
2026-08-28,Nocturna,4494
2026-08-29,Matutina,2939
2026-08-29,Electrica,7979
2026-08-29,Vespertina,4813
2026-08-29,Nocturna,576
2026-08-30,Matutina,5156
2026-08-30,Electrica,443
2026-08-30,Vespertina,1641
2026-08-30,Nocturna,7959
2026-08-31,Matutina,4791
2026-08-31,Electrica,8838
2026-08-31,Vespertina,3146
2026-08-31,Nocturna,9499
2026-09-01,Matutina,1616
2026-09-01,Electrica,1376
2026-09-01,Vespertina,5655
2026-09-01,Nocturna,6345
2026-09-02,Matutina,4748
2026-09-02,Electrica,2147
2026-09-02,Vespertina,9457
2026-09-02,Nocturna,3673
2026-09-03,Matutina,5604
2026-09-03,Electrica,3317
2026-09-03,Vespertina,4051
2026-09-03,Nocturna,2217
2026-09-04,Matutina,6816
2026-09-04,Electrica,2570
2026-09-04,Vespertina,1406
2026-09-04,Nocturna,1912
2026-09-05,Matutina,4929
2026-09-05,Electrica,8186
2026-09-05,Vespertina,9701
2026-09-05,Nocturna,7251
2026-09-06,Matutina,3210
2026-09-06,Electrica,645
2026-09-06,Vespertina,7292
2026-09-06,Nocturna,7690
2026-09-07,Matutina,5413
2026-09-07,Electrica,5141
2026-09-07,Vespertina,3716
2026-09-07,Nocturna,9339
2026-09-08,Matutina,2350
2026-09-08,Electrica,5003
2026-09-08,Vespertina,5921
2026-09-08,Nocturna,5514
2026-09-09,Matutina,9390
2026-09-09,Electrica,1612
2026-09-09,Vespertina,8181
2026-09-09,Nocturna,3197
2026-09-10,Matutina,4511
2026-09-10,Electrica,460
2026-09-10,Vespertina,6098
2026-09-10,Nocturna,8585
2026-09-11,Matutina,9184
2026-09-11,Electrica,7787
2026-09-11,Vespertina,5520
2026-09-11,Nocturna,1201
2026-09-12,Matutina,9909
2026-09-12,Electrica,9321
2026-09-12,Vespertina,824
2026-09-12,Nocturna,4124
2026-09-13,Matutina,8608
2026-09-13,Electrica,1853
2026-09-13,Vespertina,5435
2026-09-13,Nocturna,6958
2026-09-14,Matutina,3655
2026-09-14,Electrica,3887
2026-09-14,Vespertina,7982
2026-09-14,Nocturna,8505
2026-09-15,Matutina,101
2026-09-15,Electrica,4559
2026-09-15,Vespertina,1202
2026-09-15,Nocturna,5357
2026-09-16,Matutina,6448
2026-09-16,Electrica,8546
2026-09-16,Vespertina,9234
2026-09-16,Nocturna,5316
2026-09-17,Matutina,3618
2026-09-17,Electrica,5028
2026-09-17,Vespertina,8768
2026-09-17,Nocturna,5610
2026-09-18,Matutina,7474
2026-09-18,Electrica,9801
2026-09-18,Vespertina,8877
2026-09-18,Nocturna,8972
2026-09-19,Matutina,9774
2026-09-19,Electrica,8476
2026-09-19,Vespertina,2260
2026-09-19,Nocturna,8820
